// Name file exported from Information Designer 1.50 Build 308
// Separator 	tab
// Name	Address	Comment	DataType	Index	IOTimegroup
1:A1_Close	1:BOOL 1_103				0
1:A1_CMD	1:DINT 4_90				0
1:A1_Error	1:BOOL 1_75				0
1:A1_FOL_A	1:BOOL 1_72				0
1:A1_H_FA	1:BOOL 1_71				0
1:A1_LOF_A	1:BOOL 1_73				0
1:A1_MNS_OT	1:BOOL 1_114				0
1:A1_PERR	1:DINT 4_91				0
1:A1_PLS_OT	1:BOOL 1_113				0
1:A1ActualPosn	1:DINT 4_89				0
1:A1InPosn411	1:BOOL 1_74				0
1:A1JOG_PCT	1:UDINT 4_52				0
1:A1JogInL	1:BOOL 1_428				0
1:A1JogOutL	1:BOOL 1_429				0
1:A2_Close	1:BOOL 1_104				0
1:A2_CMD	1:DINT 4_93				0
1:A2_FOL_A	1:BOOL 1_77				0
1:A2_H_FA	1:BOOL 1_76				0
1:A2_LOF_A	1:BOOL 1_78				0
1:A2_MNS_OT	1:BOOL 1_116				0
1:A2_PERR	1:DINT 4_94				0
1:A2_PLS_OT	1:BOOL 1_115				0
1:A2ActualPosn	1:DINT 4_92				0
1:A2InPosn	1:BOOL 1_79				0
1:A2JOG_PCT	1:UDINT 4_53				0
1:A2JogML	1:BOOL 1_430				0
1:A2JogPL	1:BOOL 1_431				0
1:A3_Close	1:BOOL 1_105				0
1:A3_CMD	1:DINT 4_96				0
1:A3_FOL_A	1:BOOL 1_82				0
1:A3_H_FA	1:BOOL 1_81				0
1:A3_LOF_A	1:BOOL 1_83				0
1:A3_MNS_OT	1:BOOL 1_118				0
1:A3_PERR	1:DINT 4_97				0
1:A3_PLS_OT	1:BOOL 1_117				0
1:A3ActualPosn	1:DINT 4_95				0
1:A3InPosn	1:BOOL 1_84				0
1:A3JOG_PCT	1:UDINT 4_54				0
1:A3JogML	1:BOOL 1_432				0
1:A3JogPL	1:BOOL 1_433				0
1:ActFeedRate	1:DINT 4_182				0
1:ActHorsePower	1:DINT 4_179				0
1:ActPressure	1:DINT 4_180				0
1:ActRPM	1:DINT 4_181				0
1:AN3Pump	1:INT 2_191				0
1:AN4Motor	1:INT 2_192				0
1:AnaCCW_Pres	1:DINT 4_130				0
1:AnaClampP	1:DINT 4_128				0
1:AnaCW_Pres	1:DINT 4_129				0
1:AnaGauge_In	1:UDINT 4_125				0
1:AnaHydTemp	1:DINT 4_126				0
1:Analog1	1:DINT 4_441				0
1:Analog2	1:DINT 4_442				0
1:Analog3	1:DINT 4_443				0
1:AnaR_L_In	1:UDINT 4_124				0
1:AnaServoP	1:DINT 4_127				0
1:AnaSpinIn	1:DINT 4_122				0
1:AnaTrav_In	1:UDINT 4_123				0
1:AUTO_LT	1:BOOL 1_37				0
1:AutoWetAct	1:BOOL 1_449				0
1:AXIS_LT	1:BOOL 1_39				0
1:BAT_FLT	1:BOOL 1_106				0
1:Blade_LT	1:BOOL 1_440				0
1:BladeComp	1:BOOL 1_446				0
